Body ID,Body Type,Perimeter / Length,Area,Height / Depth,Storage / Volume,Infiltration,Shape,Slope
1,Anicut,100–2000 m,0.01–1 ha,Height: 3–6 m; Upstream depth: 0.5–3 m,0.1–1 MCM,<12.7 mm/hr,Linear to slightly curved band spanning full river width; narrow transverse profile; L:W ratio >5,Riverbed slope: 0–2%; Embankment slope: 1:0.5 to 1:1
2,Continuous Contour Trench (CCT),20–100 m,0.001–0.1 ha/segment,Depth: 30 cm; Berm height: 0.3–0.5 m,0.2–0.8 m³/trench,>12.7 mm/hr,"Thin, elongated linear segments following slope contours; L:W ratio >8",2–8%
3,Deep Continuous Contour Trench (Deep CCT),20–100 m,0.001–0.1 ha/segment,Depth: 1–2 m; Bund height: 1 m,20–30 m³/trench,>12.7 mm/hr,"Wider, more pronounced linear segments along contours; L:W ratio >10",2–10%
4,Mini Percolation Tank,Bund length: 50–200+ m,0.5–5 ha,Depth: 3–4.5 m (up to 6 m),0.1–0.5 MCM (up to 2–5 MCM),>12.7 mm/hr,"Compact, roughly oval to irregular basin; moderate L:W ratio (2–4)",Embankment slope: 1:1.5 to 1:2
5,Minor Irrigation Tank,Bund length: hundreds of metres to >1 km,Hundreds of ha,Depth: 3–6 m,0.1 to several MCM,Not specified,Large irregular polygon elongated along valley floor,Not specified
6,Pakka Check Dam,Length: 5–20 m,Few hundred m²,Wall height: 1–3 m; Stored depth: <1–2 m,Few thousand m³ (up to ~5 MCM),Not specified,"Short, straight linear bar perpendicular to stream channel",Not specified
7,Johad,Not specified,"500–10,000 m²",Depth: 3–6 m,Not specified,Majority percolates,Crescent or semi-circular plan form,Not specified
8,Khadin,Bund several hundred metres long,1–20 ha,Depth: 0.5–1 m,Soil moisture only,Not specified,Highly elongated rectangular/trapezoidal agricultural field; L:W ~10:1,Not specified
9,Loose Check Dam,Perimeter: ≤100 m,Not specified,Height: ≤1.5 m,"Minimal, temporary",>12.7 mm/hr through structure,"Very short, narrow irregular linear feature across gully",Near-vertical upstream face
10,Percolation Tank,Bund length: 50–200+ m,5–50 ha,Depth: 3–6 m,Up to 5 MCM,>12.7 mm/hr,"Irregular polygon, roughly oval to elongated",Embankment slope: 1:1.5 to 1:2
11,Staggered Trench,Length/trench: 2–2.5 m,Not specified,Depth: 0.3–0.75 m; Bund height: 0.3–0.5 m,Volume/trench: 0.20–0.80 m³,>12.7 mm/hr,"Short, discontinuous rectangular pits arranged in a staggered checkerboard pattern",10–50%
12,Sunken Gully Pit,Length: 2–5 m,Not specified,Depth: 1–2 m,Volume: 5–50 m³,>12.7 mm/hr,Small rectangular/square depression within gully channel,<5% or >5%
13,Earthen Check Dam,Perimeter: 50–300 m,100–2000 m²,Depth: 1–5 m,Not specified,Not specified,Very elongated linear water body (L:W >10:1),5–15%
14,Farm Pond,Perimeter: 20–150 m,"250–10,000 m²",Depth: 2–4 m,Not specified,Not specified,"Compact, near-circular or oval depression",<5%
15,Field Outlet,Perimeter: 10–50 m,<500 m²,Minimal,Not specified,Not specified,"Very thin, straight linear channel or pipe",Flat
16,Talab,Perimeter: 100–700 m,0.05–50 ha,Depth: 1–5 m,Not specified,Not specified,"Irregular or roughly circular village pond; moderate L:W ratio (1–3)",Gentle slopes; typically <5%
